order_item_code,occurrence,num_items
"S10_1678, S10_2016, S10_4698, S18_2625, S24_1578, S24_2000, S32_1374, S700_2834",1,"8 items"
S12_2823,1,"1 items"
"S24_2360, S32_2206, S32_4485, S50_4713",1,"4 items"
"S12_1099, S12_3380, S12_3990, S18_3278, S18_3482, S18_3782, S18_4721, S24_3371, S24_4620",1,"9 items"
"S12_4675, S18_1129, S18_1589, S18_1889, S18_1984, S18_2870, S18_3232, S18_3685, S24_1046, S24_1628, S24_2766, S24_2887, S24_2972, S24_3191, S24_3432, S24_3856",1,"16 items"
"S18_1342, S18_1367, S18_1749, S18_2248, S18_2325, S18_2795, S18_2949, S18_2957, S18_3136, S18_3320, S18_4409, S18_4933, S24_1937, S24_2022, S24_3969, S24_4258",1,"16 items"
"S12_4473, S18_2238, S18_2319, S18_3232, S24_1444, S24_2840, S24_4048, S32_2509, S32_3207, S50_1392",1,"10 items"
"S12_1108, S12_3148, S12_3891, S18_3140, S18_3259, S18_4027, S50_1514, S700_1938",1,"8 items"
"S18_1662, S24_2841, S24_3420, S24_3949, S700_2466, S700_4002",1,"6 items"
"S50_1341, S700_1691, S700_3167",1,"3 items"
"S12_1099, S12_3380, S12_3990, S12_4675, S18_1889, S18_3232, S18_3278, S18_3482, S24_2972, S24_3371, S24_3856",1,"11 items"
"S18_1129, S18_1589, S18_1749, S18_1984, S18_2248, S18_2325, S18_2870, S18_3685, S18_4409, S18_4933, S24_1046, S24_1628, S24_2766, S24_2887, S24_3191, S24_3432, S24_3969",1,"17 items"
"S18_1342, S18_1367, S18_2795, S24_1937, S24_2022",1,"5 items"
"S10_1949, S12_1666, S18_1097, S18_2949, S18_2957, S18_3136, S18_3320, S18_4668, S24_4258, S32_3522, S700_2824",1,"11 items"
"S10_4962, S12_4473, S18_2238, S18_2319, S18_2432, S18_3232, S18_4027, S18_4600, S24_1444, S24_2300, S24_2840, S24_4048, S32_1268, S32_2509, S32_3207, S50_1392",1,"16 items"
"S12_1108, S12_3148, S12_3891, S18_3140, S18_3259, S18_4522, S24_2011, S24_3151, S50_1514, S700_1138, S700_1938, S700_2610, S700_3505, S700_3962, S72_3212",1,"15 items"
"S10_4757, S18_3029, S18_3856, S24_2841, S24_3420, S24_3816, S700_2047, S72_1253",1,"8 items"
"S10_2016, S10_4698, S18_1662, S18_2581, S18_2625, S24_1785, S24_2000, S24_3949, S24_4278, S32_1374, S32_4289, S50_1341, S700_1691, S700_2466, S700_2834, S700_3167, S700_4002",1,"17 items"
"S10_1678, S12_1099, S12_2823, S12_3990, S18_3278, S18_3482, S18_3782, S18_4721, S24_1578, S24_2360, S24_3371, S24_4620, S32_2206, S32_4485, S50_4713",1,"15 items"
"S12_3380, S12_4675, S18_1129, S18_1589, S18_1889, S18_1984, S18_2870, S18_3232, S18_3685, S24_1046, S24_1628, S24_2766, S24_2972, S24_3191, S24_3432, S24_3856",1,"16 items"
"S18_4409, S18_4933, S24_2887",1,"3 items"
"S18_1749, S18_2248, S18_2325, S18_2795, S24_1937, S24_2022, S24_3969",1,"7 items"
"S10_1949, S18_1097, S18_1342, S18_1367, S18_2949, S18_2957, S18_3136, S18_3320, S18_4668, S24_4258",1,"10 items"
S12_1666,1,"1 items"
"S10_4962, S18_2432, S18_4600, S24_2300, S32_1268, S32_3522, S700_2824",1,"7 items"
"S12_4473, S18_2238, S24_2840, S32_2509",1,"4 items"
"S12_1108, S12_3148, S12_3891, S18_4027, S24_1444, S24_4048, S32_3207, S50_1392, S50_1514",1,"9 items"
"S18_3140, S18_3259, S18_4522, S24_2011, S700_1938",1,"5 items"
"S10_4757, S18_1662, S18_3029, S18_3856, S24_2841, S24_3151, S24_3420, S24_3816, S24_3949, S700_1138, S700_2047, S700_2466, S700_2610, S700_3505, S700_3962, S700_4002, S72_1253, S72_3212",1,"18 items"
"S10_1678, S10_2016, S10_4698, S18_2581, S18_2625, S24_1578, S24_1785, S24_2000, S24_4278, S32_1374, S32_4289, S50_1341, S700_1691, S700_2834, S700_3167",1,"15 items"
"S12_2823, S18_3782, S24_2360, S32_2206, S32_4485, S50_4713",1,"6 items"
"S12_1099, S12_3380, S12_3990, S12_4675, S18_1129, S18_1889, S18_3232, S18_3278, S18_3482, S18_4721, S24_2972, S24_3371, S24_3856, S24_4620",1,"14 items"
"S18_1589, S18_1984, S18_2870, S18_3685, S24_1046, S24_1628, S24_3432",1,"7 items"
"S18_1342, S18_1367, S18_1749, S18_2248, S18_2325, S18_2795, S18_3320, S18_4409, S18_4933, S24_1937, S24_2022, S24_2766, S24_2887, S24_3191, S24_3969",1,"15 items"
"S10_1949, S18_1097, S18_2949, S18_2957, S18_3136, S24_4258",1,"6 items"
"S12_3148, S18_2238, S18_4027, S24_1444, S24_4048, S32_3207, S50_1392, S50_1514",1,"8 items"
"S12_1108, S12_3891",1,"2 items"
"S18_3140, S18_3259, S18_4522, S24_2011, S700_1938, S700_3505, S700_3962, S72_3212",1,"8 items"
"S24_3151, S700_1138, S700_2610",1,"3 items"
"S18_2581, S24_1785, S24_3949, S24_4278, S32_1374, S32_4289, S50_1341, S700_1691, S700_2466, S700_2834, S700_3167, S700_4002",1,"12 items"
"S12_1099, S12_3380, S12_3990, S18_3278, S18_3482, S18_4721, S24_3371, S24_4620",1,"8 items"
"S18_1129, S18_1984, S18_3685",1,"3 items"
"S18_1589, S18_1749, S18_2248, S18_2870, S18_4409, S18_4933, S24_1046, S24_1628, S24_2766, S24_2887, S24_3191, S24_3432",1,"12 items"
"S18_1342, S18_1367, S18_2795, S18_2949, S18_2957, S18_3136, S18_3320, S24_2022, S24_4258",1,"9 items"
"S18_3856, S24_2841, S24_3420, S700_2047, S72_1253",1,"5 items"
"S10_1678, S10_2016, S10_4698, S12_2823, S18_2625, S24_1578",1,"6 items"
"S18_3278, S18_3482, S18_3782, S18_4721, S24_2360, S24_4620, S32_2206, S32_4485, S50_4713",1,"9 items"
"S18_2795, S24_2022",1,"2 items"
"S18_2949, S18_2957, S18_3136, S18_3320, S24_4258",1,"5 items"
"S10_1949, S12_1666, S18_1097, S18_4668, S32_3522, S700_2824",1,"6 items"
"S10_4962, S12_4473, S18_2238, S18_2319, S18_2432, S18_3232, S18_4600, S24_1444, S24_2300, S24_2840, S32_1268, S32_2509, S50_1392",1,"13 items"
"S10_4757, S18_4522, S24_2011, S24_3151, S700_1138, S700_2610, S700_3505, S700_3962, S72_3212",1,"9 items"
"S10_1678, S10_2016, S10_4698, S12_2823, S18_2581, S18_2625, S24_1578, S24_2000, S24_4278, S32_1374, S700_2834",1,"11 items"
"S18_3782, S18_4721, S24_2360, S24_4620, S32_2206, S32_4485, S50_4713",1,"7 items"
"S18_3278, S18_3482",1,"2 items"
"S12_1099, S12_3380, S12_3990, S12_4675, S18_1129, S18_1589, S18_1889, S18_1984, S18_2870, S18_3232, S18_3685, S24_1628, S24_2972, S24_3371, S24_3856",1,"15 items"
"S18_2957, S24_4258",1,"2 items"
"S10_1949, S10_4962, S12_1666, S18_1097, S18_2949, S18_3136, S18_4600, S18_4668, S32_1268, S32_3522, S700_2824",1,"11 items"
"S10_4757, S18_3029, S18_3140, S18_3259, S18_3856, S18_4522, S24_2011, S24_3151, S24_3816, S700_1138, S700_1938, S700_2610, S700_3505, S700_3962, S72_3212",1,"15 items"
"S18_1662, S24_2841, S24_3420, S700_2047, S72_1253",1,"5 items"
"S12_1099, S12_2823, S12_3380, S12_3990, S18_3278, S18_3482, S18_3782, S18_4721, S24_2360, S24_3371, S24_4620, S32_2206, S32_4485, S50_4713",1,"14 items"
S12_4675,1,"1 items"
"S18_1129, S18_1589, S18_1889, S18_1984, S18_2870, S18_3232, S18_3685, S24_1628, S24_2972, S24_3856",1,"10 items"
"S10_1949, S18_1097, S18_1342, S18_1367, S18_1749, S18_2248, S18_2325, S18_2795, S18_2949, S18_2957, S18_3136, S18_3320, S18_4409, S24_1937, S24_2022, S24_3969, S24_4258",1,"17 items"
"S12_1108, S12_3148, S12_3891, S18_2238, S18_3140, S18_3259, S18_4027, S24_1444, S24_4048, S32_3207, S50_1392, S50_1514, S700_1938",1,"13 items"
"S18_1662, S18_2581, S24_1785, S24_2841, S24_3420, S24_3949, S24_4278, S32_4289, S50_1341, S700_1691, S700_2466, S700_3167, S700_4002",1,"13 items"
"S10_1678, S10_2016, S10_4698, S12_2823, S18_2625, S24_1578, S24_2000, S24_2360, S32_1374, S32_2206, S32_4485, S50_4713, S700_2834",1,"13 items"
S18_3782,1,"1 items"
"S12_1099, S12_3380, S12_3990, S12_4675, S18_1129, S18_1889, S18_1984, S18_2870, S18_3232, S18_3278, S18_3482, S18_3685, S18_4721, S24_2972, S24_3371, S24_3856, S24_4620",1,"17 items"
"S18_1589, S18_1749, S18_2248, S18_2325, S18_4409, S18_4933, S24_1046, S24_1628, S24_1937, S24_2766, S24_2887, S24_3191, S24_3432, S24_3969",1,"14 items"
"S18_1342, S18_1367, S18_2795, S24_2022",1,"4 items"
"S18_3320, S24_4258",1,"2 items"
"S10_1949, S10_4962, S12_1666, S18_1097, S18_2432, S18_2949, S18_2957, S18_3136, S18_4600, S18_4668, S24_2300, S32_1268, S32_3522, S700_2824",1,"14 items"
"S12_4473, S18_2238, S18_2319, S18_3232, S18_4027, S24_1444, S24_2840, S24_4048, S32_2509, S32_3207, S50_1392, S50_1514",1,"12 items"
"S12_1108, S12_3148, S12_3891, S18_3140, S18_3259, S18_4522, S24_2011, S700_1938, S72_3212",1,"9 items"
S700_3962,1,"1 items"
"S10_4757, S24_3151, S700_1138, S700_2610, S700_3505",1,"5 items"
"S18_1662, S18_3029, S18_3856, S24_2841, S24_3420, S24_3816, S24_3949, S50_1341, S700_1691, S700_2047, S700_2466, S700_3167, S700_4002, S72_1253",1,"14 items"
"S18_2581, S24_1785, S24_2000, S24_4278, S32_1374, S32_4289, S700_2834",1,"7 items"
"S10_2016, S18_2625",1,"2 items"
"S10_1678, S10_4698, S12_2823, S18_3782, S18_4721, S24_1578, S24_2360, S24_4620, S32_2206, S32_4485, S50_4713",1,"11 items"
"S12_1099, S12_3380, S12_3990, S12_4675, S18_1889, S18_3278, S18_3482, S24_3371",1,"8 items"
"S18_1129, S18_1589, S18_1984, S18_2870, S18_3232, S18_3685, S24_1046, S24_1628, S24_2972, S24_3432, S24_3856",1,"11 items"
"S18_1749, S18_4409, S18_4933, S24_2766, S24_2887, S24_3191",1,"6 items"
"S18_2248, S24_3969",1,"2 items"
"S10_1949, S12_1666, S18_1097, S18_1342, S18_1367, S18_2325, S18_2795, S18_2949, S18_2957, S18_3136, S18_3320, S18_4668, S24_1937, S24_2022, S24_4258, S32_3522, S700_2824",1,"17 items"
"S10_4962, S12_4473, S18_2238, S18_2319, S18_2432, S18_3232, S18_4600, S24_1444, S24_2300, S24_2840, S24_4048, S32_1268, S32_2509, S50_1392",1,"14 items"
"S12_1108, S12_3148, S12_3891, S18_3140, S18_3259, S18_4027, S18_4522, S24_2011, S24_3151, S32_3207, S50_1514, S700_1138, S700_1938, S700_2610, S700_3505, S700_3962, S72_3212",1,"17 items"
"S10_2016, S10_4698, S18_2581, S18_2625, S24_1785, S24_2000, S24_3949, S24_4278, S32_1374, S32_4289, S50_1341, S700_1691, S700_2466, S700_2834, S700_3167, S700_4002",1,"16 items"
"S10_1678, S12_2823, S24_1578, S24_2360, S32_4485, S50_4713",1,"6 items"
"S18_1589, S18_2870, S18_3685, S18_4409, S18_4933, S24_1046, S24_1628, S24_2766, S24_2887, S24_3191, S24_3432",1,"11 items"
"S10_1949, S18_1097, S18_1342, S18_1367, S18_1749, S18_2248, S18_2325, S18_2795, S18_2949, S18_2957, S18_3136, S18_3320, S18_4668, S24_1937, S24_2022, S24_3969, S24_4258",1,"17 items"
"S10_4962, S12_1666, S18_2319, S18_2432, S18_3232, S18_4600, S24_2300, S32_1268, S32_2509, S32_3522, S700_2824",1,"11 items"
"S12_1108, S12_3148, S12_3891, S12_4473, S18_2238, S18_3140, S18_3259, S18_4027, S24_1444, S24_2840, S24_4048, S32_3207, S50_1392, S50_1514, S700_1938",1,"15 items"
"S18_4522, S24_2011, S24_3151, S700_1138, S700_3505, S700_3962, S72_3212",1,"7 items"
"S10_4757, S18_1662, S18_3029, S18_3856, S24_1785, S24_2841, S24_3420, S24_3816, S24_3949, S32_4289, S50_1341, S700_1691, S700_2047, S700_2466, S700_2610, S700_3167, S700_4002, S72_1253",1,"18 items"
S24_4278,1,"1 items"
"S10_1678, S10_2016, S10_4698, S18_2581, S18_2625, S24_1578, S24_2000, S32_1374, S700_2834",1,"9 items"
"S12_2823, S18_3278, S18_3782, S18_4721, S24_2360, S24_4620, S32_2206, S32_4485, S50_4713",1,"9 items"
"S12_1099, S12_3380, S12_3990, S18_3482, S24_3371",1,"5 items"
"S12_4675, S18_1129, S18_1589, S18_1889, S18_1984, S18_2870, S18_3232, S18_3685, S24_1046, S24_1628, S24_2766, S24_2972, S24_3191, S24_3432, S24_3856",1,"15 items"
"S10_1949, S10_4962, S12_1666, S18_1097, S18_1342, S18_1367, S18_2325, S18_2432, S18_2795, S18_2949, S18_2957, S18_3136, S24_1937, S24_2022",1,"14 items"
"S18_3320, S18_4600",1,"2 items"
"S10_4757, S12_1108, S12_3891, S18_3140, S24_4048, S32_2509, S32_3207, S50_1392, S50_1514",1,"9 items"
"S18_3259, S18_4522, S24_2011, S24_3151, S24_3816, S700_1138",1,"6 items"
"S18_3856, S24_1785, S24_2841, S24_3420, S24_3949, S24_4278, S32_4289, S50_1341, S700_1691, S700_2047, S700_2466, S700_2834, S700_3167, S700_4002",1,"14 items"
"S10_1678, S10_2016, S10_4698, S12_1099, S12_2823, S12_3380, S12_3990, S12_4675, S18_1889, S18_2625, S18_3278, S24_1578, S24_2000, S32_1374, S72_1253",1,"15 items"
"S18_3482, S18_3782, S18_4721, S24_2360",1,"4 items"
"S18_1129, S18_1589, S18_1749, S18_1984, S18_2870, S18_3232, S18_3685, S24_2972, S24_3371, S24_3856, S24_4620, S32_2206, S32_4485, S50_4713",1,"14 items"
"S18_1342, S18_1367, S18_2248, S18_2325, S18_2795, S18_2957, S18_3136, S18_4409, S18_4933, S24_1046, S24_1628, S24_1937, S24_2022, S24_2766, S24_2887, S24_3191, S24_3432, S24_3969",1,"18 items"
"S10_1949, S12_1666, S18_1097, S18_2949, S18_3320, S18_4668, S24_4258, S32_3522",1,"8 items"
"S24_2840, S32_1268, S32_2509",1,"3 items"
"S12_1108, S12_3148, S12_3891, S12_4473, S18_2238, S18_3140, S18_3259, S24_1444, S24_4048, S32_3207, S50_1392, S700_2824",1,"12 items"
"S10_4757, S18_4027, S18_4522, S24_2011, S50_1514, S700_1938, S700_3505, S700_3962, S72_3212",1,"9 items"
"S18_1662, S18_3029, S18_3856",1,"3 items"
"S10_2016, S10_4698, S18_2581, S18_2625, S24_1578, S24_1785, S24_2841, S24_3151, S24_3420, S24_3816, S24_3949, S700_1138, S700_2047, S700_2610, S700_4002, S72_1253",1,"16 items"
"S24_2000, S24_4278, S32_1374, S32_4289, S50_1341, S700_1691, S700_2466, S700_2834",1,"8 items"
"S10_1678, S12_1099, S12_2823, S12_3380, S12_3990, S12_4675, S24_2360, S32_4485, S50_4713, S700_3167",1,"10 items"
"S18_1129, S18_1889, S18_1984, S18_3232, S18_3278, S18_3482, S18_3782, S18_4721, S24_2972, S24_3371, S24_3856",1,"11 items"
"S18_1589, S18_2870, S18_3685, S24_1628, S24_4620, S32_2206",1,"6 items"
"S18_1749, S18_2248, S18_2325, S18_4409, S18_4933, S24_1046, S24_1937",1,"7 items"
